162.159.198.1:443#麒麟优选 | 09-26 22:40 | BestCF.pages.dev
172.64.229.86:443#麒麟优选 | 电信 | 172.64.229.86 | 92.37ms | 19.88mb/s
104.18.59.85:443#麒麟优选 | 电信 | 104.18.59.85 | 161.86ms | 5.85mb/s
104.18.62.65:443#麒麟优选 | 电信 | 104.18.62.65 | 163.31ms | 3.86mb/s
104.18.52.233:443#麒麟优选 | 电信 | 104.18.52.233 | 161.60ms | 2.48mb/s
104.18.55.93:443#麒麟优选 | 电信 | 104.18.55.93 | 163.46ms | 1.74mb/s
104.18.50.6:443#麒麟优选 | 电信 | 104.18.50.6 | 162.21ms | 0.69mb/s
104.19.82.153:443#麒麟优选 | 电信 | 104.19.82.153 | 168.00ms | 0.43mb/s
104.18.53.155:443#麒麟优选 | 电信 | 104.18.53.155 | 163.21ms | 0.35mb/s
104.18.51.219:443#麒麟优选 | 电信 | 104.18.51.219 | 162.36ms | 0.33mb/s
104.18.57.35:443#麒麟优选 | 电信 | 104.18.57.35 | 164.47ms | 0.33mb/s
162.159.149.169:443#麒麟优选 | 联通 | 162.159.149.169 | 107.71ms | 8.41mb/s
104.20.23.108:443#麒麟优选 | 联通 | 104.20.23.108 | 102.97ms | 6.41mb/s
104.20.22.135:443#麒麟优选 | 联通 | 104.20.22.135 | 104.65ms | 3.52mb/s
104.26.5.116:443#麒麟优选 | 联通 | 104.26.5.116 | 107.86ms | 3.39mb/s
162.159.145.118:443#麒麟优选 | 联通 | 162.159.145.118 | 107.40ms | 2.76mb/s
104.26.0.212:443#麒麟优选 | 联通 | 104.26.0.212 | 105.08ms | 2.19mb/s
104.20.18.239:443#麒麟优选 | 联通 | 104.20.18.239 | 102.10ms | 1.17mb/s
104.26.10.78:443#麒麟优选 | 联通 | 104.26.10.78 | 105.66ms | 0.80mb/s
162.159.131.24:443#麒麟优选 | 联通 | 162.159.131.24 | 97.11ms | 0.36mb/s
162.159.144.189:443#麒麟优选 | 联通 | 162.159.144.189 | 105.38ms | 0.18mb/s
104.17.118.214:443#麒麟优选 | 移动 | 104.17.118.214 | 150.33ms | 0.43mb/s
104.19.37.186:443#麒麟优选 | 移动 | 104.19.37.186 | 151.50ms | 0.40mb/s
104.19.53.155:443#麒麟优选 | 移动 | 104.19.53.155 | 153.35ms | 0.30mb/s
104.17.113.25:443#麒麟优选 | 移动 | 104.17.113.25 | 126.83ms | 0.27mb/s
104.19.50.231:443#麒麟优选 | 移动 | 104.19.50.231 | 129.01ms | 0.17mb/s
104.19.154.30:443#麒麟优选 | 移动 | 104.19.154.30 | 142.76ms | 0.12mb/s
104.19.149.136:443#麒麟优选 | 移动 | 104.19.149.136 | 156.82ms | 0.11mb/s
104.17.98.229:443#麒麟优选 | 移动 | 104.17.98.229 | 146.01ms | 0.11mb/s
104.19.35.39:443#麒麟优选 | 移动 | 104.19.35.39 | 150.64ms | 0.10mb/s
104.18.42.241:443#麒麟优选 | 移动 | 104.18.42.241 | 113.40ms | 0.10mb/s
172.64.229.237:443#麒麟优选 | 多线 | 172.64.229.237 | 33.48ms | 14.30mb/s
104.18.38.229:443#麒麟优选 | 多线 | 104.18.38.229 | 67.04ms | 0.37mb/s
104.18.43.56:443#麒麟优选 | 多线 | 104.18.43.56 | 74.38ms | 0.36mb/s
172.64.151.206:443#麒麟优选 | 多线 | 172.64.151.206 | 72.89ms | 0.23mb/s
104.18.32.234:443#麒麟优选 | 多线 | 104.18.32.234 | 67.86ms | 0.16mb/s
104.18.37.69:443#麒麟优选 | 多线 | 104.18.37.69 | 70.52ms | 0.13mb/s
172.64.154.44:443#麒麟优选 | 多线 | 172.64.154.44 | 72.94ms | 0.12mb/s
104.18.46.140:443#麒麟优选 | 多线 | 104.18.46.140 | 72.45ms | 0.12mb/s
172.64.150.155:443#麒麟优选 | 多线 | 172.64.150.155 | 73.77ms | 0.10mb/s
104.18.39.170:443#麒麟优选 | 多线 | 104.18.39.170 | 71.41ms | 0.10mb/s
162.159.197.1:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
